ID,time created, User, Followers, RTs, Favorites
1101231836901052424,Thu Feb 28 21:25:04 +0000 2019,CisforCarla,372,0,0
1101230571425054725,Thu Feb 28 21:20:02 +0000 2019,fth_nix,1974,11,0
1101229845709770753,Thu Feb 28 21:17:09 +0000 2019,jzwvu07,615,1,5
1101229586644295680,Thu Feb 28 21:16:07 +0000 2019,WYOEducation,2513,2,0
1101229518591852544,Thu Feb 28 21:15:51 +0000 2019,birv2,1295,11,0
1101228950011944966,Thu Feb 28 21:13:36 +0000 2019,TigWilliams,196,7,0
1101228315090706432,Thu Feb 28 21:11:04 +0000 2019,JamesGrievePS,811,1,0
1101227745907040256,Thu Feb 28 21:08:49 +0000 2019,jbdijkerman,624,11,0
1101227322089328640,Thu Feb 28 21:07:08 +0000 2019,alfredtwo,6563,4,0
1101225817743470592,Thu Feb 28 21:01:09 +0000 2019,mrtomocon,1803,2,6
1101225153613180929,Thu Feb 28 20:58:31 +0000 2019,aderbenwick,894,2,0
1101225033324740608,Thu Feb 28 20:58:02 +0000 2019,StephWortel,832,2,0
1101225028446707712,Thu Feb 28 20:58:01 +0000 2019,Hill_Mr_Hill,182,11,0
1101224989402021888,Thu Feb 28 20:57:51 +0000 2019,CSforALL,13025,2,6
1101224925304639488,Thu Feb 28 20:57:36 +0000 2019,katypotts,2380,7,0
1101224699290439681,Thu Feb 28 20:56:42 +0000 2019,dailystem,8316,2,0
1101223798748180487,Thu Feb 28 20:53:08 +0000 2019,Jaqster,575,11,0
1101223749989400578,Thu Feb 28 20:52:56 +0000 2019,CSforALL,13025,0,2
1101223432858095616,Thu Feb 28 20:51:40 +0000 2019,lsudol,2677,2,0
1101223319267954692,Thu Feb 28 20:51:13 +0000 2019,StephWortel,832,2,0
1101223174136569857,Thu Feb 28 20:50:39 +0000 2019,CSforALL,13025,2,9
1101222935627468801,Thu Feb 28 20:49:42 +0000 2019,lsudol,2677,2,5
1101222678319558659,Thu Feb 28 20:48:40 +0000 2019,CSforALL,13025,0,1
1101222412018962439,Thu Feb 28 20:47:37 +0000 2019,Roosloan,1336,1,5
1101221640833138688,Thu Feb 28 20:44:33 +0000 2019,conormyhrvold,6962,6,0
1101221166776242179,Thu Feb 28 20:42:40 +0000 2019,mrtomocon,1803,4,0
1101220818997133312,Thu Feb 28 20:41:17 +0000 2019,dpodrockets,66,1,0
1101220553665462273,Thu Feb 28 20:40:14 +0000 2019,reginaschaffer,3749,4,0
1101220134931365888,Thu Feb 28 20:38:34 +0000 2019,lsudol,2677,4,0
