ID,time created, user name, user followers, likes, retweets
1100845514881359872,Wed Feb 27 19:49:58 +0000 2019,codebreakeredu,3033,4,0
1100845498666311686,Wed Feb 27 19:49:54 +0000 2019,blockbreakeredu,931,4,0
1100845095962796033,Wed Feb 27 19:48:18 +0000 2019,mraspinall,44311,4,4
1100844705301102594,Wed Feb 27 19:46:45 +0000 2019,ahrlean,85,6,0
1100844237447458816,Wed Feb 27 19:44:53 +0000 2019,marlobarnett,1542,6,0
1100844152659554304,Wed Feb 27 19:44:33 +0000 2019,marlobarnett,1542,5,0
1100843677994213376,Wed Feb 27 19:42:40 +0000 2019,wogrammer,3641,5,10
1100842892220715013,Wed Feb 27 19:39:32 +0000 2019,shuchig,1625,5,5
1100842489722884096,Wed Feb 27 19:37:56 +0000 2019,dr_nickiw,1110,6,16
1100841816763576327,Wed Feb 27 19:35:16 +0000 2019,GT_CCEC,304,1,1
1100841543580168192,Wed Feb 27 19:34:11 +0000 2019,ProfPayton,96,4,0
1100841469219344385,Wed Feb 27 19:33:53 +0000 2019,ProfPayton,96,11,0
1100841464731443206,Wed Feb 27 19:33:52 +0000 2019,dr_nickiw,1110,2,4
1100841129036140544,Wed Feb 27 19:32:32 +0000 2019,guzdial,4858,4,0
1100840928040898560,Wed Feb 27 19:31:44 +0000 2019,lsudol,2664,11,0
1100840118053687301,Wed Feb 27 19:28:31 +0000 2019,dr_nickiw,1110,11,18
1100840052094091264,Wed Feb 27 19:28:15 +0000 2019,guzdial,4858,6,0
1100839899945676800,Wed Feb 27 19:27:39 +0000 2019,guzdial,4858,6,0
1100838979299987456,Wed Feb 27 19:23:59 +0000 2019,GinaTeso,142,0,0
1100838184626372609,Wed Feb 27 19:20:50 +0000 2019,guzdial,4858,4,0
1100838034969423872,Wed Feb 27 19:20:14 +0000 2019,anneleftwich,1069,0,1
1100837573373644800,Wed Feb 27 19:18:24 +0000 2019,mobilecsp,1451,5,0
1100837275586514950,Wed Feb 27 19:17:13 +0000 2019,diane_levitt,1767,10,0
1100837159702016000,Wed Feb 27 19:16:46 +0000 2019,ProfPayton,96,5,0
1100837031259922433,Wed Feb 27 19:16:15 +0000 2019,dr_nickiw,1110,5,13
1100836938095968256,Wed Feb 27 19:15:53 +0000 2019,Spark_Chat,13,9,0
1100835364745502720,Wed Feb 27 19:09:38 +0000 2019,ProfPayton,96,6,0
1100835305639284737,Wed Feb 27 19:09:24 +0000 2019,ProfPayton,96,6,0
1100834847248003078,Wed Feb 27 19:07:34 +0000 2019,dr_nickiw,1110,6,13
1100834513243045888,Wed Feb 27 19:06:15 +0000 2019,AbbyCameron131,263,1,3
1100834495555608581,Wed Feb 27 19:06:10 +0000 2019,dr_nickiw,1110,5,11
1100833890040758272,Wed Feb 27 19:03:46 +0000 2019,dr_nickiw,1110,0,1
1100833586553540608,Wed Feb 27 19:02:34 +0000 2019,TheresaJHall,4840,1,0
1100832863530991617,Wed Feb 27 18:59:41 +0000 2019,dr_nickiw,1110,4,19
1100832851715637248,Wed Feb 27 18:59:38 +0000 2019,GoLXDesign,362,4,0
1100832534093615104,Wed Feb 27 18:58:23 +0000 2019,bundtjd,206,3,0
1100830797865586689,Wed Feb 27 18:51:29 +0000 2019,mrtomocon,1797,4,0
1100830727485222913,Wed Feb 27 18:51:12 +0000 2019,mrtomocon,1797,10,0
1100828415299604480,Wed Feb 27 18:42:01 +0000 2019,guzdial,4858,12,0
1100828078157324294,Wed Feb 27 18:40:40 +0000 2019,YasiTheLooming,346,3,0
1100826673333915650,Wed Feb 27 18:35:05 +0000 2019,edifiedlistener,4278,1,0
1100826036025974784,Wed Feb 27 18:32:34 +0000 2019,AFunabiki,146,0,1
1100825870963359745,Wed Feb 27 18:31:54 +0000 2019,owenpeery,2993,1,2
1100822568225959938,Wed Feb 27 18:18:47 +0000 2019,SouthBronxRT,659,10,0
1100822170530390016,Wed Feb 27 18:17:12 +0000 2019,AbbyCameron131,263,0,3
1100821590072328192,Wed Feb 27 18:14:54 +0000 2019,AgilistaAG,6206,6,0
1100820984884547584,Wed Feb 27 18:12:29 +0000 2019,MrsThomasTRT,826,0,1
1100818767255404544,Wed Feb 27 18:03:40 +0000 2019,iogburu,1101,4,0
