ID,time created, User, Followers, RTs, Favorites
1101257346091704320,Thu Feb 28 23:06:26 +0000 2019,saveearth1928,1808,1,1
1101256918285336577,Thu Feb 28 23:04:44 +0000 2019,Charlotte_YMCA,4523,3,6
1101256832113356808,Thu Feb 28 23:04:23 +0000 2019,SoZooMe1,351,2,0
1101256801432018946,Thu Feb 28 23:04:16 +0000 2019,CMRitterActor,1167,15,0
1101256484103442435,Thu Feb 28 23:03:00 +0000 2019,tmamut,1028,6,0
1101256241085595653,Thu Feb 28 23:02:02 +0000 2019,GrahamHillActor,252,0,0
1101256149410680832,Thu Feb 28 23:01:41 +0000 2019,KapeciaResists,32098,2,7
1101256003121758208,Thu Feb 28 23:01:06 +0000 2019,johnmaeda,424689,6,0
1101255881818365952,Thu Feb 28 23:00:37 +0000 2019,salloucole,71,0,0
1101255838918983680,Thu Feb 28 23:00:26 +0000 2019,JacobKulwicki,227,0,0
1101255626087378954,Thu Feb 28 22:59:36 +0000 2019,Arfaan11,5301,26,0
1101255563017515008,Thu Feb 28 22:59:21 +0000 2019,saveearth1928,1808,0,2
1101255185584795648,Thu Feb 28 22:57:51 +0000 2019,LukeODonovan3,116,0,0
1101255012259291137,Thu Feb 28 22:57:09 +0000 2019,Darrell18662402,23,0,0
1101254873750724609,Thu Feb 28 22:56:36 +0000 2019,pennytimms,1786,0,0
1101254810043527168,Thu Feb 28 22:56:21 +0000 2019,Fleacatt,3314,108,0
1101254514408075269,Thu Feb 28 22:55:11 +0000 2019,PehrmanKatja,689,0,12
1101254346841436161,Thu Feb 28 22:54:31 +0000 2019,E4Adoptees,567,5,0
1101254150543851522,Thu Feb 28 22:53:44 +0000 2019,jidk1187,10020,108,0
1101254125914935301,Thu Feb 28 22:53:38 +0000 2019,RhiannonMosson,355,1,1
1101254029865185280,Thu Feb 28 22:53:15 +0000 2019,adopteelaw,1038,5,0
1101253778781757442,Thu Feb 28 22:52:15 +0000 2019,MartaMuizFerrer,494,5,0
1101253711765090305,Thu Feb 28 22:51:59 +0000 2019,NichelleRae1,219,0,0
